"","X","Tag","treatment","maple_leaf_length_0","maple_height_0","maple_leaves_0","gh_bench","Maple_LeafNum_End","Maple_Damage_End","Maple_TotalLeafArea_End","Maple_StemHeight_End","comp_number","Sample","ChlorA","ChlorB","DataFile","gluc_Conc","flav_Conc","gh_col","gh_row","GM_Leaf_Len_Initial","GM_NumberOfLeaves_Initial","Fern","Pool","Genotype","GM_Leaf_Number","GM_Leaf_Len","GM_Leaf_Wid","ThripsDam","WhiteFungDam","BlackPathDam","GM_TotalLeaf_Area","GM_NumberOfLeaves","GA3","Family","Region","Latitude","Longitude","Altitude","ID","Row_Field","Col_Field","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","Sampler","Maple_Died","RGR1","RGR2","RGR3","RGR4","MapleFinalMass","GM_Fecundity"
"11",42,"b|JBCHY1-1-50|Q|223","gm",NA,NA,NA,3,NA,NA,NA,NA,5,"223_2",0.98817959,0.31782379,"Dat_Jan_30_2020_AM.txt",0.21644826342,0.118763794516,4,20,9,3,0,"No","b|JBCHY1-1-50|Q|223",2,56,52,40,0,0,10404,3,"y","JBCHY1","NorthAm",38.94948333,-75.04693333,25.9,"223",4,2,"20","18","122","13","Nikita",NA,1.11e-06,1.34e-07,-7.73e-08,7.41e-08,NA,NA
"12",43,"d|BWPEM1-9-0|Q|18","gm",NA,NA,NA,4,NA,NA,NA,NA,6,"18_1",0.285309185,0.0603919400000001,"Dat_Feb_6_2020_PM.txt",0.20139472284,0.141941650876,1,9,8,2,0,"No","d|BWPEM1-9-0|Q|18",1,33,32,0,0,2,2500,2,"y","BWPEM1","NorthAm",37.373261,-80.524986,1156,"18",4,4,"18","14","90","6","Nikita",NA,8.67e-07,-1.02e-07,-8.77e-08,2.82e-08,NA,NA
"13",44,"a|MSMID1-1-20|Q|366","gm",NA,NA,NA,4,NA,NA,NA,NA,6,"366_1",0.283447385,0.088608165,"Dat_Jan_15_2020_AM.txt",0.13371414234,0.144855129082,1,9,18,2,0,"No","a|MSMID1-1-20|Q|366",1,40,36,0,0,0,5094,2,"n","MSMID1","NorthAm",41.60111111,-72.70111111,5,"366",4,4,"29","25","199","20","Nikita",NA,5.27e-07,7.62e-09,6.02e-08,-5.52e-08,NA,NA
"14",45,"a|MSMID1-1-20|Q|366","gm",NA,NA,NA,4,NA,NA,NA,NA,6,"366_2",0.205233855,0.068919565,"Dat_Jan_23_2020_PM.txt",0.17220154506,0.115644531604,1,9,18,2,0,"No","a|MSMID1-1-20|Q|366",2,58,63,1,0,3,5094,2,"n","MSMID1","NorthAm",41.60111111,-72.70111111,5,"366",4,4,"29","25","199","20","Nikita",NA,5.27e-07,7.62e-09,6.02e-08,-5.52e-08,NA,NA
"15",46,"d|SMAKC1-B|N|442","gm",NA,NA,NA,4,NA,NA,NA,NA,7,"442_1",0.27810373,0.09576644,"Dat_Jan_10_2020_AM.txt",0.17533985478,0.122197149874,4,1,18,3,0,"No","d|SMAKC1-B|N|442",1,35,31,0,0,0,7805,3,"n","SMAKC1","NorthAm",41.173591,-81.643766,307,"442",6,2,"15","18","79","9","Liisa",NA,2.67e-07,9.65e-08,-1.91e-07,1.23e-07,NA,NA
"16",47,"d|BWPEM1-9-0|Q|25","gm",NA,NA,NA,4,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,4,1,9,2,0,"No",NA,NA,NA,NA,NA,NA,NA,4172,2,"y","BWPEM1","NorthAm",37.373261,-80.524986,1156,"25",6,2,"8","9","56","5","Liisa",NA,9.41e-07,-3.42e-07,3.38e-07,-2.08e-07,NA,NA
"17",48,"e|JWBOY-2-80|Q|263","gm",NA,NA,NA,3,NA,NA,NA,NA,8,"263_1",0.452845405,0.14097845,"Dat_Feb_6_2020_PM.txt",0.36196582236,0.157613780854,2,2,15,3,0,"No","e|JWBOY-2-80|Q|263",1,46,35,0,0,0,8730,3,"n","JWBOY1","NorthAm",39.061684,-78.074413,250.9,"263",4,1,"4","4","20","3","Nikita",NA,3.51e-07,-2.37e-09,-2.61e-09,9.65e-08,NA,NA
"18",49,"e|JWBOY-2-80|Q|263","gm",NA,NA,NA,3,NA,NA,NA,NA,8,"263_2",0.430773925,0.132542595,"Dat_Jan_22_2020_PM.txt",0.21172355538,0.095802553636,2,2,15,3,0,"No","e|JWBOY-2-80|Q|263",2,55,55,4,0,1,8730,3,"n","JWBOY1","NorthAm",39.061684,-78.074413,250.9,"263",4,1,"4","4","20","3","Nikita",NA,3.51e-07,-2.37e-09,-2.61e-09,9.65e-08,NA,NA
"19",50,"b|BWPEM1-9-0|Q|4","gm",NA,NA,NA,3,NA,NA,NA,NA,8,"4_1",NA,NA,"Dat_Dec_8_2019.txt",NA,NA,2,2,14,2,0,"No","b|BWPEM1-9-0|Q|4",1,40,39,0,0,0,3450,2,"y","BWPEM1","NorthAm",37.373261,-80.524986,1156,"4",4,1,"Dead","Dead","Dead","Dead","Nikita",NA,6.77e-07,-8.16e-08,1.23e-07,1.9e-08,NA,NA
"20",51,"b|BWPEM1-9-0|Q|4","gm",NA,NA,NA,3,NA,NA,NA,NA,8,"4_2",NA,NA,"Dat_Dec_6_2019.txt",NA,NA,2,2,14,2,0,"No","b|BWPEM1-9-0|Q|4",2,45,42,8,0,0,3450,2,"y","BWPEM1","NorthAm",37.373261,-80.524986,1156,"4",4,1,"Dead","Dead","Dead","Dead","Nikita",NA,6.77e-07,-8.16e-08,1.23e-07,1.9e-08,NA,NA
"21",52,"b|CBMCK1-1-0|N|37","gm",NA,NA,NA,3,NA,NA,NA,NA,9,"37_1",0.3457273,0.14258525,"Dat_Feb_5_2020_AM.txt",0.259953513,0.162552613798,4,13,14,3,0,"No","b|CBMCK1-1-0|N|37",1,31,23,0,0,0,6275,3,"n","CBMCK1","NorthAm",40.04498333,-105.2325,1606.9,"37",2,4,"Dead","Dead","Dead","Dead","Nikita",NA,4.75e-07,1.68e-07,-1.17e-08,9.6e-09,NA,NA
"22",53,"b|CBMCK1-1-0|N|37","gm",NA,NA,NA,3,NA,NA,NA,NA,9,"37_2",0.16326097,0.0644082200000001,"Dat_Jan_17_2020_AM.txt",0.08551867164,0.0653247556,4,13,14,3,0,"No","b|CBMCK1-1-0|N|37",2,54,51,1,0,0,6275,3,"n","CBMCK1","NorthAm",40.04498333,-105.2325,1606.9,"37",2,4,"Dead","Dead","Dead","Dead","Nikita",NA,4.75e-07,1.68e-07,-1.17e-08,9.6e-09,NA,NA
"23",54,"b|BWPEM1-9-0|Q|5","gm",NA,NA,NA,3,NA,NA,NA,NA,9,"5_1",0.24187931,0.0827247950000001,"Dat_Feb_5_2020_AM.txt",0.11650516926,0.073816082416,4,13,16,2,0,"No","b|BWPEM1-9-0|Q|5",1,52,43,8,0,0,5357,3,"y","BWPEM1","NorthAm",37.373261,-80.524986,1156,"5",2,4,"Dead","Dead","Dead","Dead","Nikita",NA,5.68e-07,-4.09e-08,2.67e-08,3.15e-08,NA,NA
"24",55,"b|JARI1-1-80|Q|164","gm",NA,NA,NA,4,NA,NA,NA,NA,10,"164_1",0.318149915,0.11995157,"Dat_Jan_28_2020_AM.txt",0.12555798576,0.091242797782,5,8,14,2,0,"No","b|JARI1-1-80|Q|164",1,35,30,0,0,0,2067,3,"y","JARI1","NorthAm",41.48,-71.52,20.7,"164",4,3,"Dead","Dead","Dead","Dead","Nikita",NA,5.22e-07,2.23e-08,-4.63e-07,9.39e-08,NA,NA
"25",56,"b|BWPEM1-9-0|Q|6","gm",NA,NA,NA,4,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,5,8,13,2,0,"No",NA,NA,NA,NA,NA,NA,NA,2129,2,"y","BWPEM1","NorthAm",37.373261,-80.524986,1156,"6",4,3,"Dead","Dead","Dead","Dead","Nikita",NA,7.99e-07,-6.5e-08,4.68e-08,-2.24e-07,NA,NA
"26",57,"e|DVGM-20|Q|128","gm",NA,NA,NA,4,NA,NA,NA,NA,11,"128_1",0.80789956,0.254142735,"Dat_Jan_30_2020_AM.txt",0.45495980214,0.160288982032,3,12,19,3,0,"No","e|DVGM-20|Q|128",1,40,43,0,0,40,2088,3,"n","DVGM","NorthAm",40.87611111,-74.95630278,232,"128",3,6,"Dead","Dead","Dead","Dead","Nikita",NA,5.44e-07,1.63e-07,3.96e-08,-4.87e-07,NA,NA
"27",58,"b|BWPEM1-9-0|Q|8","gm",NA,NA,NA,4,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,3,12,4,2,0,"No",NA,NA,NA,NA,NA,NA,NA,952,2,"y","BWPEM1","NorthAm",37.373261,-80.524986,1156,"8",3,6,"Dead","Dead","Dead","Dead","Nikita",NA,9.64e-07,1.55e-07,-7.96e-08,-4.35e-07,NA,NA
"28",59,"b|KVEDG1-1-80|Q|278","gm",NA,NA,NA,3,NA,NA,NA,NA,12,"278_1",0.950869725,0.271220825,"Dat_Jan_30_2020_AM.txt",0.46701298068,0.178625482414,2,18,24,3,0,"No","b|KVEDG1-1-80|Q|278",1,43,44,0,0,0,5988,2,"y","KVEDG1","NorthAm",39.435278,-76.288333,2,"278",9,4,"Dead","Dead","Dead","Dead","Liisa",NA,1.73e-07,-1.38e-07,-2.52e-07,2.56e-07,NA,NA
"29",60,"b|KVEDG1-1-80|Q|278","gm",NA,NA,NA,3,NA,NA,NA,NA,12,"278_2",0.51096283,0.13896424,"Dat_Jan_24_2020_AM.txt",0.230639631,0.120193456684,2,18,24,3,0,"No","b|KVEDG1-1-80|Q|278",2,64,64,2,2,1,5988,2,"y","KVEDG1","NorthAm",39.435278,-76.288333,2,"278",9,4,"Dead","Dead","Dead","Dead","Liisa",NA,1.73e-07,-1.38e-07,-2.52e-07,2.56e-07,NA,NA
"30",61,"b|MSMID1-1-20|Q|375","gm",NA,NA,NA,3,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,2,18,17,2,0,"No",NA,NA,NA,NA,NA,NA,NA,5535,3,"y","MSMID1","NorthAm",41.60111111,-72.70111111,5,"375a",9,4,"Dead","Dead","Dead","Dead","Liisa",NA,3.93e-07,2.51e-07,6.34e-08,1.06e-08,NA,NA
"31",62,"e|DVGM-20|Q|127","gm",NA,NA,NA,4,NA,NA,NA,NA,13,"127_1",0.44175247,0.10190475,"Dat_Jan_17_2020_PM.txt",0.30420023136,0.120431733712,6,16,15,4,0,"No","e|DVGM-20|Q|127",1,32,35,0,0,0,4768,3,"n","DVGM","NorthAm",40.87611111,-74.95630278,232,"127",8,4,"7","9","32","6","Liisa",NA,3.35e-07,2.29e-07,-8.73e-08,2.48e-08,NA,NA
"32",63,"e|DVGM-20|Q|127","gm",NA,NA,NA,4,NA,NA,NA,NA,13,"127_2",NA,NA,"Dat_Dec_8_2019.txt",NA,NA,6,16,15,4,0,"No","e|DVGM-20|Q|127",2,52,48,7,0,0,4768,3,"n","DVGM","NorthAm",40.87611111,-74.95630278,232,"127",8,4,"7","9","32","6","Liisa",NA,3.35e-07,2.29e-07,-8.73e-08,2.48e-08,NA,NA
"33",64,"b|KVEDG1-1-80|Q|279","gm",NA,NA,NA,4,NA,NA,NA,NA,13,"279_1",0.56905025,0.296965635,"Dat_Dec_9_2019.txt",0.31316683056,0.148039376638,6,16,19,3,0,"No","b|KVEDG1-1-80|Q|279",1,32,34,0,0,0,5647,3,"y","KVEDG1","NorthAm",39.435278,-76.288333,2,"279",8,4,"12","12","120","8","Liisa",NA,3.88e-07,1.73e-08,1.16e-07,-2.99e-08,NA,NA
"34",65,"b|KVEDG1-1-80|Q|279","gm",NA,NA,NA,4,NA,NA,NA,NA,13,"279_2",0.20338828,0.0992714,"Dat_Jan_10_2020_AM.txt",0.09964106538,0.05102813392,6,16,19,3,0,"No","b|KVEDG1-1-80|Q|279",2,47,52,6,0,0,5647,3,"y","KVEDG1","NorthAm",39.435278,-76.288333,2,"279",8,4,"12","12","120","8","Liisa",NA,3.88e-07,1.73e-08,1.16e-07,-2.99e-08,NA,NA
"35",66,"d|KVEDG1-1-80|Q|294","gm",NA,NA,NA,3,NA,NA,NA,NA,14,"294_1",0.40292153,0.12836582,"Dat_Feb_4_2020_AM.txt",0.18116814426,0.126020413096,2,17,16,3,8,"No","d|KVEDG1-1-80|Q|294",1,39,36,3,0,0,4544,3,"n","KVEDG1","NorthAm",39.435278,-76.288333,2,"294",9,4,"15","16","54","6","Liisa",NA,1.94e-07,8.84e-08,1.33e-07,3.92e-08,NA,NA
"36",67,"d|KVEDG1-1-80|Q|294","gm",NA,NA,NA,3,NA,NA,NA,NA,14,"294_2",0.473864705,0.17488648,"Dat_Jan_27_2020_AM.txt",0.28130091648,0.120821641576,2,17,16,3,8,"No","d|KVEDG1-1-80|Q|294",2,37,35,34,0,4,4544,3,"n","KVEDG1","NorthAm",39.435278,-76.288333,2,"294",9,4,"15","16","54","6","Liisa",NA,1.94e-07,8.84e-08,1.33e-07,3.92e-08,NA,NA
"37",68,"b|MHBUR1-4-20|Q|343","gm",NA,NA,NA,3,NA,NA,NA,NA,14,"343_1",0.49381397,0.122606525,"Dat_Jan_20_2020_AM.txt",0.21418937016,0.095250184162,2,17,12,2,8,"No","b|MHBUR1-4-20|Q|343",1,33,36,0,0,0,4563,3,"y","MHBUR1","NorthAm",41.9675,-71.7069,128,"343",9,4,"9","6","25","6","Liisa",NA,3.62e-07,1.13e-07,-8.01e-08,3.33e-08,NA,NA
"38",69,"b|MHBUR1-4-20|Q|343","gm",NA,NA,NA,3,NA,NA,NA,NA,14,"343_2",0.75106065,0.205821035,"Dat_Jan_28_2020_AM.txt",0.22894977192,0.146133160414,2,17,12,2,8,"No","b|MHBUR1-4-20|Q|343",2,36,40,1,2,6,4563,3,"y","MHBUR1","NorthAm",41.9675,-71.7069,128,"343",9,4,"9","6","25","6","Liisa",NA,3.62e-07,1.13e-07,-8.01e-08,3.33e-08,NA,NA
"39",70,"e|JWBOY-2-80|Q|271","gm",NA,NA,NA,3,NA,NA,NA,NA,15,"271_1",0.480358705,0.209831965,"Dat_Jan_21_2020_AM.txt",0.18196134342,0.089087473756,4,18,13,3,0,"No","e|JWBOY-2-80|Q|271",1,60,60,1,3,2,7651,3,"n","JWBOY1","NorthAm",39.061684,-78.074413,250.9,"271",9,4,"Dead","Dead","Dead","Dead","Liisa",NA,2.34e-06,9.7e-08,1.69e-08,-4.89e-08,NA,NA
"40",71,"b|KVEDG1-1-80|Q|280","gm",NA,NA,NA,3,NA,NA,NA,NA,15,"280_1",0.272063215,0.06585576,"Dat_Jan_27_2020_AM.txt",0.3122011968,0.142104112486,4,18,5,2,0,"No","b|KVEDG1-1-80|Q|280",1,34,25,0,0,0,3010,2,"y","KVEDG1","NorthAm",39.435278,-76.288333,2,"280",9,4,"Dead","Dead","Dead","Dead","Liisa",NA,3.08e-07,1.1e-07,-4.95e-08,-1.57e-08,NA,NA
"41",72,"b|KVEDG1-1-80|Q|280","gm",NA,NA,NA,3,NA,NA,NA,NA,15,"280_2",0.21956527,0.097017065,"Dat_Jan_29_2020_AM.txt",0.13673174784,0.086152334002,4,18,5,2,0,"No","b|KVEDG1-1-80|Q|280",2,45,48,0,0,7,3010,2,"y","KVEDG1","NorthAm",39.435278,-76.288333,2,"280",9,4,"Dead","Dead","Dead","Dead","Liisa",NA,3.08e-07,1.1e-07,-4.95e-08,-1.57e-08,NA,NA
"42",73,"b|KVEDG1-1-80|Q|281","gm",NA,NA,NA,4,NA,NA,NA,NA,16,"281_1",0.1186483,0.0403660949999999,"Dat_Jan_20_2020_AM.txt",0.12395434398,0.03505274227,4,2,9,2,0,"No","b|KVEDG1-1-80|Q|281",1,46,51,3,1,1,4075,3,"y","KVEDG1","NorthAm",39.435278,-76.288333,2,"281",6,2,"10","10","14","2","Liisa",NA,4.8e-07,7.61e-08,-4.19e-08,7.76e-08,NA,NA
"43",74,"d|VRPET2-3-20|Q|526","gm",NA,NA,NA,4,NA,NA,NA,NA,16,"526_1",0.638452865,0.19536562,"Dat_Jan_24_2020_PM.txt",0.4808422356,0.188947210036,4,2,19,3,0,"No","d|VRPET2-3-20|Q|526",1,42,42,0,0,0,8718,3,"n","VRPET2","NorthAm",42.531117,-72.189784,329.1,"526",6,2,"26","29","99","9","Liisa",NA,6.31e-07,-1.84e-07,-1.14e-07,8.99e-08,NA,NA
"44",75,"d|VRPET2-3-20|Q|526","gm",NA,NA,NA,4,NA,NA,NA,NA,16,"526_2",0.28281624,0.114843925,"Dat_Jan_20_2020_AM.txt",0.15487186776,0.057266659744,4,2,19,3,0,"No","d|VRPET2-3-20|Q|526",2,57,58,14,0,1,8718,3,"n","VRPET2","NorthAm",42.531117,-72.189784,329.1,"526",6,2,"26","29","99","9","Liisa",NA,6.31e-07,-1.84e-07,-1.14e-07,8.99e-08,NA,NA
"45",76,"c|KVEDG1-1-80|Q|286","gm",NA,NA,NA,3,NA,NA,NA,NA,17,"286_1",0.33510326,0.0559196900000001,"Dat_Jan_31_2020_PM.txt",NA,NA,3,11,19,2,1,"No","c|KVEDG1-1-80|Q|286",1,35,36,0,0,1,4920,2,"y","KVEDG1","NorthAm",39.435278,-76.288333,2,"286",2,5,"11","16","127","7","Nikita",NA,6.59e-07,-1.02e-07,1.57e-07,-5.55e-08,NA,NA
"46",77,"c|KVEDG1-1-80|Q|286","gm",NA,NA,NA,3,NA,NA,NA,NA,17,"286_2",0.46916842,0.157944605,"Dat_Feb_5_2020_PM.txt",0.2301223272,0.100513940326,3,11,19,2,1,"No","c|KVEDG1-1-80|Q|286",2,61,60,0,0,19,4920,2,"y","KVEDG1","NorthAm",39.435278,-76.288333,2,"286",2,5,"11","16","127","7","Nikita",NA,6.59e-07,-1.02e-07,1.57e-07,-5.55e-08,NA,NA
"47",78,"c|VRCAN-1-40|Q|493","gm",NA,NA,NA,3,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,3,11,0,0,1,"No",NA,NA,NA,NA,NA,NA,NA,1200,2,"y","VRCAN","NorthAm",42.003658,-73.328612,203,"493",2,5,"8","10","34","5","Nikita",NA,1.18e-06,1.7e-08,5.53e-08,-2.75e-07,NA,NA
"48",79,"c|KVEDG1-1-80|Q|291","gm",NA,NA,NA,4,NA,NA,NA,NA,18,"291_1",0.32491811,0.081677875,"Dat_Jan_15_2020_AM.txt",0.12283351908,0.079209807868,1,16,16,2,0,"No","c|KVEDG1-1-80|Q|291",1,54,49,1,0,1,2646,1,"y","KVEDG1","NorthAm",39.435278,-76.288333,2,"291",8,4,"7","9","36","4","Liisa",NA,5.26e-07,1.39e-07,-1.68e-07,4.08e-08,NA,NA
"49",80,"a|SMAKC1-B|N|434","gm",NA,NA,NA,4,NA,NA,NA,NA,18,"434_1",0.25695626,0.15429808,"Dat_Jan_27_2020_AM.txt",0.1588206201,0.100048217044,1,16,19,3,0,"No","a|SMAKC1-B|N|434",1,49,45,4,0,1,2988,2,"n","SMAKC1","NorthAm",41.173591,-81.643766,307,"434",8,4,"Dead","Dead","Dead","Dead","Liisa",NA,4.95e-07,3.78e-08,-1.04e-07,-2.64e-08,NA,NA
"50",81,"e|CRSOSO-3-40|Q|53","gm",NA,NA,NA,4,NA,NA,NA,NA,19,"53_1",0.4745932,0.16146438,"Dat_Jan_31_2020_AM.txt",NA,NA,6,15,15,3,0,"No","e|CRSOSO-3-40|Q|53",1,36,40,0,0,0,6174,3,"n","CRSORO","NorthAm",44.89568,-68.675117,59,"53",8,4,"Dead","Dead","Dead","Dead","Liisa",NA,3.44e-07,-1.52e-08,1.06e-07,1.01e-07,NA,NA
"51",82,"e|CRSOSO-3-40|Q|53","gm",NA,NA,NA,4,NA,NA,NA,NA,19,"53_2",0.341273575,0.10291525,"Dat_Jan_17_2020_PM.txt",0.25940172228,0.114247361758,6,15,15,3,0,"No","e|CRSOSO-3-40|Q|53",2,45,54,0,38,0,6174,3,"n","CRSORO","NorthAm",44.89568,-68.675117,59,"53",8,4,"Dead","Dead","Dead","Dead","Liisa",NA,3.44e-07,-1.52e-08,1.06e-07,1.01e-07,NA,NA
"52",83,"c|KVEDG1-1-80|Q|293","gm",NA,NA,NA,4,NA,NA,NA,NA,20,"293_1",0.17377062,0.081362235,"Dat_Jan_27_2020_AM.txt",0.13861128498,0.101467048438,3,16,3,2,0,"No","c|KVEDG1-1-80|Q|293",1,32,31,0,0,1,1592,2,"y","KVEDG1","NorthAm",39.435278,-76.288333,2,"293",8,4,"Dead","Dead","Dead","Dead","Liisa",NA,1.1e-06,-1.32e-07,-2.82e-08,5.49e-08,NA,NA
"53",84,"e|RULEB1-20|N|430","gm",NA,NA,NA,4,NA,NA,NA,NA,20,"430_1",0.370761435,0.103739535,"Dat_Jan_23_2020_PM.txt",0.27819709368,0.154223748592,3,16,19,4,0,"No","e|RULEB1-20|N|430",1,31,34,4,0,0,6397,3,"n","RULEB1","NorthAm",40.328062,-76.505785,146.3,"430",8,4,"Dead","Dead","Dead","Dead","Liisa",NA,4.53e-07,2.23e-08,-4.8e-08,-6.9e-08,NA,NA
"54",85,"e|RULEB1-20|N|430","gm",NA,NA,NA,4,NA,NA,NA,NA,20,"430_2",0.350066635,0.112543705,"Dat_Jan_29_2020_AM.txt",0.14361188838,0.119305333216,3,16,19,4,0,"No","e|RULEB1-20|N|430",2,42,39,10,0,0,6397,3,"n","RULEB1","NorthAm",40.328062,-76.505785,146.3,"430",8,4,"Dead","Dead","Dead","Dead","Liisa",NA,4.53e-07,2.23e-08,-4.8e-08,-6.9e-08,NA,NA
"55",86,"d|KVEDG1-1-80|Q|298","gm",NA,NA,NA,4,NA,NA,NA,NA,21,"298_1",0.18989975,0.127463345,"Dat_Dec_9_2019.txt",0.20660224776,0.137002817932,3,14,11,2,0,"No","d|KVEDG1-1-80|Q|298",1,62,60,9,2,1,8010,3,"n","KVEDG1","NorthAm",39.435278,-76.288333,2,"298",5,5,"Dead","Dead","Dead","Dead","Nikita",NA,7.91e-07,1.32e-07,-1.13e-08,-5.73e-09,NA,NA
